x,Curve1
0.03392,9.201e-05
0.06408,0.00031377
0.07629,0.00046393
0.09999,0.00081376
0.11184,0.00104757
0.13089,0.00162104
0.14059,0.00197094
0.14527,0.00222527
0.15712,0.0025376
0.16647,0.00282605
0.18335,0.00313153
0.21207,0.00328673
0.24832,0.003447
0.28996,0.00358848
0.33303,0.00374019
0.37611,0.00388507
0.41631,0.00402484
0.45293,0.00414756
0.48703,0.00426688
0.524,0.00440496
0.54984,0.00449531
0.58036,0.00461123
0.62092,0.00475612
0.65466,0.00487545
0.68517,0.00498284
0.71281,0.00507317
0.7444,0.00518567
0.77563,0.00529477
0.81368,0.00542089
0.85639,0.00555895
0.89552,0.00568336
0.95151,0.0058572
0.99997,0.00600546
1.05417,0.00615541
1.10909,0.00629852
1.21713,0.00656256
1.2803,0.00670734
1.36753,0.00689467
1.42388,0.00700705
1.49279,0.00712619
1.59078,0.00728957
1.6719,0.00741547
1.74979,0.00752091
1.82767,0.00762635
1.90305,0.00771473
1.96119,0.00777589
2.00319,0.00782689
2.04482,0.00786935
2.08968,0.00791521
