x,Tx_Tz0dot5,Tx_Tz1,Tx_Tz2,Tx_Tz3
0.012464,0.00354,0.00435,0.00343,0.00365
0.013361,0.00435,0.00513,0.00435,0.00467
0.014257,0.00515,0.00592,0.00526,0.00568
0.014705,0.00555,0.00631,0.00572,0.00618
0.042489,0.04012,0.04012,0.04146,0.04212
0.043834,0.04251,0.04241,0.04379,0.04428
0.065344,0.08703,0.08526,0.0871,0.08597
0.077892,0.11623,0.11407,0.11606,0.11585
0.07834,0.1173,0.11515,0.11714,0.11697
0.078788,0.11836,0.11623,0.11823,0.11809
0.102091,0.17766,0.17737,0.17896,0.17958
0.102539,0.17891,0.17858,0.18014,0.1808
0.102987,0.18017,0.17978,0.18133,0.18203
0.12136,0.23359,0.2286,0.22918,0.23263
0.123153,0.23872,0.23359,0.23382,0.23756
0.130771,0.25881,0.25587,0.25355,0.25835
0.14063,0.28122,0.28311,0.27919,0.28455
0.141078,0.28219,0.28424,0.28036,0.28572
0.166173,0.33436,0.34271,0.34571,0.34788
0.173344,0.34906,0.35955,0.36377,0.36472
0.179617,0.36197,0.37437,0.37908,0.37943
0.180514,0.36382,0.37647,0.38122,0.38152
0.189476,0.3824,0.39681,0.402,0.40211
0.20785,0.42017,0.43543,0.44136,0.44174
0.214572,0.43354,0.44908,0.45485,0.45558
0.21502,0.43441,0.44999,0.45573,0.45649
0.217709,0.43964,0.45539,0.461,0.46192
0.228464,0.45991,0.47384,0.48147,0.48313
0.251767,0.49993,0.5114,0.52244,0.5259
0.252663,0.50136,0.51282,0.52392,0.52746
0.27014,0.52754,0.53987,0.55146,0.55632
0.275518,0.53509,0.54789,0.55944,0.56463
0.288065,0.55207,0.56587,0.57747,0.58298
0.293443,0.55914,0.57327,0.585,0.59046
0.313609,0.58474,0.59949,0.61234,0.61688
0.335567,0.6105,0.62587,0.64007,0.64324
0.336911,0.612,0.62742,0.64167,0.64478
0.35394,0.6302,0.64646,0.66063,0.66368
0.35887,0.63527,0.65177,0.66571,0.66893
0.377243,0.65371,0.67085,0.68387,0.68733
0.379932,0.65637,0.67355,0.68653,0.68987
0.400994,0.67696,0.69384,0.70756,0.70955
0.408164,0.68378,0.70039,0.71455,0.71645
0.413542,0.6888,0.70517,0.71964,0.72166
0.424297,0.69857,0.71441,0.72926,0.73204
0.446256,0.7174,0.73204,0.74717,0.75251
0.456563,0.72571,0.73984,0.75525,0.76142
0.463015,0.7307,0.74461,0.76017,0.76662
0.470455,0.73619,0.74998,0.76562,0.77211
0.482554,0.74423,0.75841,0.77378,0.77982
0.502272,0.75546,0.77104,0.78465,0.78951
0.505409,0.75726,0.77288,0.78613,0.79085
0.512418,0.76134,0.77678,0.78927,0.79379
0.521542,0.76662,0.78143,0.79306,0.79772
0.536778,0.77474,0.78817,0.79892,0.80431
0.539915,0.77621,0.7894,0.80007,0.80563
0.557305,0.78318,0.79489,0.80615,0.8123
0.557392,0.78321,0.79492,0.80618,0.81233
0.56501,0.78596,0.7972,0.80867,0.8147
0.569492,0.78759,0.79857,0.81006,0.81591
0.592794,0.79668,0.80594,0.81554,0.82082
0.596827,0.79825,0.80731,0.81625,0.82157
0.602653,0.80045,0.80933,0.81722,0.82268
0.606687,0.80192,0.81053,0.81787,0.82346
0.610272,0.80318,0.81146,0.81843,0.82414
0.634919,0.81056,0.81734,0.82213,0.8284
0.64002,0.81173,0.8186,0.82287,0.82911
0.64433,0.81265,0.81973,0.82349,0.82965
0.664495,0.81711,0.82525,0.82639,0.83175
0.667632,0.81791,0.82573,0.82684,0.83205
0.682648,0.82206,0.82737,0.82898,0.83376
0.688695,0.82372,0.82792,0.82985,0.83471
0.699898,0.82658,0.82894,0.83146,0.83638
0.716479,0.82987,0.83052,0.83381,0.8379
0.738262,0.8318,0.83293,0.83652,0.839
0.745159,0.83211,0.83388,0.83722,0.83923
0.748744,0.83228,0.83447,0.83756,0.83934
0.766669,0.83357,0.83844,0.839,0.8398
0.773391,0.83442,0.83907,0.83947,0.83994
0.815068,0.84174,0.84109,0.84185,0.84062
0.82179,0.84278,0.84136,0.84219,0.84071
0.854055,0.84593,0.8428,0.84368,0.84111
0.877156,0.84718,0.84412,0.84463,0.84141
0.881839,0.8474,0.84442,0.84481,0.84148
0.904246,0.84854,0.84593,0.84559,0.842
0.919784,0.84938,0.84699,0.846,0.8426
0.9271,0.8498,0.84744,0.84615,0.84272
0.947266,0.85112,0.84823,0.84643,0.84293
0.955781,0.85179,0.84833,0.84654,0.84301
0.959814,0.85213,0.84838,0.84661,0.84305
0.971164,0.85318,0.84876,0.84687,0.84321
0.980428,0.85389,0.84928,0.84715,0.84344
0.980876,0.85391,0.84931,0.84717,0.84346
0.990287,0.85368,0.84984,0.84748,0.84396
0.994878,0.85315,0.85004,0.84764,0.84438
0.996113,0.85299,0.85009,0.84768,0.84451
