x,wi_th45
0.10212,0.011908
0.1109,0.0141639
0.127762,0.0186443
0.143029,0.0235009
0.157699,0.0285141
0.171471,0.0338408
0.184745,0.0393242
0.197521,0.044933
0.210098,0.0506044
0.222276,0.0563385
0.228764,0.0591899
0.234952,0.0619473
0.241539,0.0647047
0.248426,0.0675247
0.255711,0.07
0.263095,0.0724126
0.271675,0.0745745
0.281152,0.0763289
0.291126,0.0775193
0.302095,0.0776755
0.312165,0.0768603
0.321933,0.075105
0.330603,0.072817
0.337877,0.0703724
0.344552,0.0676457
0.350827,0.0648565
0.356405,0.0619105
0.361783,0.0589646
0.366762,0.0557993
0.375822,0.0495942
0.380302,0.0463663
0.388265,0.0399418
0.395829,0.0336114
0.402496,0.0270303
0.409262,0.0206059
0.415629,0.0138682
0.421597,0.0073185
0.427266,0.0006121
