# x, TizTix=2_km3, TizTix=2_bm
0.32242, 0.001155, -0.00205
0.32774, 0.004917, 0.001729
0.33376, 0.009024, 0.006002
0.3451, 0.016362, 0.013505
0.34935, 0.019019, 0.015975
0.36034, 0.025756, 0.022178
0.36353, 0.02775, 0.024321
0.37487, 0.034872, 0.031885
0.38019, 0.037974, 0.035013
0.40997, 0.054255, 0.051243
0.41599, 0.057446, 0.054394
0.44825, 0.073948, 0.070887
0.45037, 0.074966, 0.071961
0.46916, 0.083639, 0.081224
0.47803, 0.088334, 0.08519
0.49787, 0.098401, 0.092563
0.50745, 0.102646, 0.095702
0.53155, 0.112187, 0.103336
0.54575, 0.117441, 0.10765
0.55389, 0.120229, 0.110013
0.5805, 0.128623, 0.116553
0.58296, 0.129362, 0.117064
0.60991, 0.136887, 0.121846
0.62766, 0.141487, 0.124251
0.64573, 0.145561, 0.126134
0.6798, 0.1508, 0.12856
0.68899, 0.151822, 0.128961
0.7181, 0.154491, 0.128963
0.74538, 0.156189, 0.127912
0.77202, 0.156736, 0.126264
0.8, 0.155903, 0.123741
0.83091, 0.153791, 0.120119
0.85924, 0.151194, 0.116201
0.89441, 0.146973, 0.110758
0.90323, 0.145681, 0.109327
0.9458, 0.138674, 0.102211
0.96784, 0.13468, 0.09841
0.98412, 0.131667, 0.09554
1.02922, 0.123229, 0.087556
1.04656, 0.119836, 0.084549
1.12394, 0.104046, 0.071302
1.12568, 0.103698, 0.071007
1.19347, 0.090562, 0.060046
1.20905, 0.087616, 0.057674
1.28249, 0.074005, 0.046637
1.32296, 0.066957, 0.040634
1.36337, 0.060164, 0.034759
1.41555, 0.051617, 0.027655
1.45916, 0.04483, 0.022159
1.51381, 0.037162, 0.01548
1.54465, 0.033057, 0.011726
1.64434, 0.01979, -0.001027
1.72451, 0.010314, -0.004127
