# x, TizTix=5_km3, TizTix=5_bm
0.1059, 1.022376, 1.064339
0.12178, 1.026831, 1.07107
0.1567, 1.036785, 1.087275
0.19757, 1.050201, 1.112048
0.20737, 1.054008, 1.118736
0.23098, 1.064626, 1.135788
0.26831, 1.085456, 1.165263
0.27416, 1.089102, 1.170356
0.29819, 1.104939, 1.193133
0.32357, 1.123737, 1.217882
0.33375, 1.132049, 1.228
0.36221, 1.157133, 1.257705
0.36446, 1.159177, 1.260076
0.39637, 1.18855, 1.293604
0.4043, 1.196107, 1.302088
0.42732, 1.219026, 1.327323
0.44094, 1.233268, 1.342485
0.45827, 1.252004, 1.361158
0.47509, 1.270314, 1.378074
0.48815, 1.284307, 1.391092
0.51031, 1.307933, 1.413645
0.51234, 1.310114, 1.415522
0.54411, 1.344176, 1.442762
0.54647, 1.346643, 1.444768
0.56745, 1.36783, 1.46243
0.58146, 1.381336, 1.471976
0.59091, 1.390188, 1.477684
0.61685, 1.413259, 1.491446
0.62377, 1.419069, 1.494708
0.64065, 1.432545, 1.501538
0.66075, 1.447512, 1.506888
0.66479, 1.450342, 1.507615
0.68455, 1.460586, 1.510102
0.68999, 1.462854, 1.510595
0.71235, 1.4718, 1.511167
0.72824, 1.477788, 1.510473
0.74706, 1.482948, 1.509065
0.75315, 1.483792, 1.508411
0.77368, 1.483864, 1.504996
0.78366, 1.483273, 1.502903
0.81452, 1.480629, 1.496707
0.83825, 1.477894, 1.490823
0.86027, 1.473999, 1.485004
0.86627, 1.472272, 1.483404
0.88045, 1.468256, 1.479624
0.90034, 1.463097, 1.474334
0.93403, 1.454089, 1.46527
0.94748, 1.450358, 1.461547
0.98439, 1.439705, 1.451272
1.02943, 1.426275, 1.438996
1.03826, 1.423625, 1.436636
1.08794, 1.408842, 1.423392
1.12798, 1.397237, 1.412754
1.14256, 1.393119, 1.40905
1.20675, 1.375626, 1.393561
1.21699, 1.372914, 1.39111
1.25534, 1.362924, 1.382202
1.31133, 1.348934, 1.370063
1.32167, 1.346444, 1.367859
1.36636, 1.33595, 1.358565
1.41099, 1.325757, 1.349756
1.42594, 1.322377, 1.346861
1.49298, 1.30774, 1.334468
1.5103, 1.304186, 1.331519
1.56074, 1.294433, 1.323337
1.61501, 1.284651, 1.31473
1.61813, 1.284105, 1.314254
1.65439, 1.277874, 1.308878
1.7249, 1.266433, 1.298269
1.7413, 1.263917, 1.29591
1.82005, 1.252516, 1.286039
1.83062, 1.251055, 1.28483
1.92258, 1.238955, 1.274561
1.94378, 1.236364, 1.272276
2.02085, 1.227577, 1.264346
2.0605, 1.22328, 1.260629
2.10494, 1.218529, 1.256769
2.17048, 1.211801, 1.251252
2.2167, 1.207376, 1.24747
2.28437, 1.201355, 1.242314
2.28907, 1.200954, 1.241958
2.3909, 1.192791, 1.234495
2.40216, 1.19194, 1.233737
2.51924, 1.183443, 1.226333
2.54205, 1.181806, 1.224963
2.63633, 1.175291, 1.219616
2.65204, 1.174291, 1.218761
2.75483, 1.16817, 1.213275
2.77126, 1.167196, 1.212443
2.86813, 1.161545, 1.207963
2.87299, 1.161279, 1.207745
2.94406, 1.15768, 1.204516
2.98475, 1.155765, 1.202784
2.99303, 1.155378, 1.202447
