x,wr_upperRX,wr_OP,wr_LX,wr_lowerRX
0.002305,1.21326,0.50143,0.20076,0.00039
0.002881,1.21286,0.50152,0.20331,0.00263
0.004417,1.21178,0.50179,0.21,0.00857
0.012292,1.2079,0.50458,0.24857,0.04122
0.013968,1.20775,0.50568,0.25931,0.04948
0.01402,1.20775,0.50571,0.25967,0.04975
0.01767,1.20857,0.50889,0.2863,0.0702
0.019974,1.20993,0.51145,0.30429,0.08452
0.023647,1.21307,0.51651,0.33294,0.10888
0.027273,1.21679,0.52286,0.36014,0.13402
0.027849,1.21741,0.52401,0.36429,0.13808
0.033568,1.22344,0.53859,0.40297,0.17907
0.035531,1.22536,0.54524,0.41571,0.19327
0.035915,1.22571,0.54665,0.41821,0.19603
0.040333,1.22955,0.56571,0.44653,0.22681
0.043006,1.23176,0.57969,0.46276,0.24387
0.043022,1.23177,0.57978,0.46286,0.24397
0.051088,1.23894,0.63116,0.50571,0.28683
0.052927,1.24088,0.64462,0.51411,0.29516
0.05493,1.24322,0.66,0.52296,0.30372
0.05781,1.24714,0.68343,0.53622,0.3152
0.058579,1.24833,0.68991,0.54,0.31814
0.062606,1.25563,0.725,0.5614,0.33296
0.067222,1.26617,0.76634,0.58714,0.34909
0.068758,1.27014,0.78,0.59557,0.35398
0.073132,1.28229,0.81805,0.61863,0.36536
0.074328,1.28571,0.82835,0.62474,0.36756
0.07452,1.28626,0.83001,0.62571,0.36787
0.081434,1.30608,0.89143,0.66071,0.37482
0.082933,1.31049,0.90549,0.66838,0.37616
0.082971,1.31061,0.90584,0.66857,0.3762
0.087388,1.32429,0.94864,0.69137,0.3817
0.091421,1.3381,0.98863,0.71143,0.38753
0.092975,1.3439,1.00403,0.71853,0.38966
0.093726,1.34682,1.01143,0.72185,0.39063
0.098912,1.36903,1.06049,0.74571,0.39641
0.101216,1.38,1.08154,0.75727,0.39865
0.101985,1.38379,1.08857,0.76117,0.39937
0.103138,1.3896,1.09917,0.76703,0.40046
0.111204,1.43263,1.17492,0.80571,0.40728
0.113543,1.44558,1.19759,0.81479,0.40856
0.114661,1.45179,1.20857,0.81853,0.40898
0.118694,1.47429,1.2492,0.82915,0.40985
0.119654,1.47963,1.25907,0.83143,0.41003
0.123465,1.50083,1.29862,0.84179,0.41126
0.126761,1.51949,1.33286,0.85169,0.41352
0.127145,1.52171,1.33682,0.85286,0.41384
0.132714,1.55571,1.39328,0.86857,0.41873
0.133507,1.56092,1.40114,0.87042,0.41936
0.135595,1.5751,1.4216,0.87429,0.4208
0.13886,1.59836,1.45286,0.87668,0.4226
0.143791,1.63521,1.49851,0.88274,0.42476
0.143854,1.63569,1.49908,0.88286,0.42478
0.144046,1.63714,1.50084,0.88324,0.42486
0.151344,1.6926,1.56857,0.90043,0.4285
0.152497,1.70143,1.57965,0.9033,0.42927
0.153712,1.71076,1.59146,0.90629,0.43016
0.160371,1.76248,1.65707,0.92143,0.43507
0.163636,1.78842,1.68857,0.92735,0.43561
0.163876,1.79035,1.69084,0.92774,0.43556
0.16767,1.82143,1.72604,0.93319,0.43309
0.173797,1.87531,1.78324,0.94023,0.43016
0.175928,1.89506,1.80429,0.94263,0.43158
0.17612,1.89685,1.80623,0.94286,0.43176
0.178617,1.92,1.83221,0.94589,0.43475
0.18396,1.96795,1.88995,0.95288,0.44096
0.188028,2.00467,1.93286,0.95826,0.44121
0.188604,2.01,1.9387,0.95901,0.44104
0.19283,2.05004,1.97985,0.96429,0.44058
0.194003,2.06131,1.99088,0.96566,0.44096
0.198976,2.10857,2.03687,0.97114,0.44461
0.200704,2.12444,2.05286,0.97293,0.44624
0.207433,2.18382,2.11653,0.97957,0.45176
0.209347,2.20046,2.135,0.98143,0.45219
0.210115,2.20714,2.14244,0.98218,0.45211
0.212804,2.23058,2.16857,0.98482,0.45095
0.217475,2.27161,2.21415,0.98899,0.44906
0.21895,2.28468,2.2286,0.99,0.449
0.224136,2.33143,2.27958,0.99255,0.44986
0.22548,2.34391,2.29286,0.99312,0.4502
0.227977,2.36771,2.31758,0.99429,0.45086
0.232478,2.41181,2.36234,0.9971,0.45176
0.232586,2.41286,2.36343,0.99717,0.45176
0.235083,2.43657,2.38834,0.99857,0.45172
0.237964,2.46366,2.41714,0.99973,0.45125
0.241613,2.49857,2.45364,1.00143,0.45132
0.242883,2.51098,2.4663,1.0023,0.45176
0.243534,2.5174,2.47279,1.00286,0.45206
0.250064,2.58283,2.53714,1.01331,0.45627
0.251216,2.59447,2.54833,1.01571,0.45701
0.252753,2.61,2.5632,1.01893,0.4579
0.257886,2.66139,2.61298,1.02883,0.45985
0.260819,2.6901,2.64199,1.03286,0.45999
0.26274,2.70857,2.66143,1.03373,0.45975
0.26735,2.75221,2.70977,1.03286,0.4585
0.272889,2.80444,2.76793,1.03801,0.45715
0.274072,2.81571,2.77994,1.03927,0.45721
0.274648,2.82125,2.78571,1.03984,0.45732
0.276569,2.83992,2.80461,1.04143,0.45806
0.281562,2.88857,2.85202,1.04137,0.46159
0.283052,2.90258,2.86583,1.04133,0.46255
0.283483,2.90659,2.8698,1.04143,0.4628
0.28694,2.9384,2.90143,1.04358,0.46444
0.291165,2.97683,2.94,1.04772,0.46593
0.291357,2.97857,2.9417,1.04792,0.46599
0.293278,2.99601,2.95931,1.05,0.46657
0.298297,3.04189,3.00505,1.05523,0.46795
