# x, TezTiz=2_bm, TezTiz=2_km3
0.14563, 1.043129, 1.021868
0.15348, 1.044794, 1.022846
0.20755, 1.057102, 1.029765
0.21465, 1.058957, 1.030746
0.26155, 1.07289, 1.038766
0.2631, 1.073382, 1.039082
0.31447, 1.090632, 1.050673
0.3209, 1.092941, 1.05229
0.35613, 1.106194, 1.061972
0.39523, 1.122097, 1.07289
0.40792, 1.127528, 1.07643
0.44396, 1.143396, 1.087728
0.47293, 1.156354, 1.097935
0.51527, 1.17481, 1.11324
0.51835, 1.176155, 1.114375
0.5697, 1.198591, 1.133771
0.57954, 1.202759, 1.137483
0.60461, 1.212961, 1.14677
0.63735, 1.225355, 1.158837
0.64703, 1.228837, 1.16232
0.68569, 1.241803, 1.17544
0.6914, 1.243578, 1.177326
0.73035, 1.254735, 1.19014
0.7477, 1.259129, 1.195704
0.77089, 1.264244, 1.202289
0.79723, 1.268971, 1.208799
0.82493, 1.273113, 1.215411
0.85202, 1.276385, 1.221849
0.86959, 1.277984, 1.225253
0.90905, 1.279912, 1.231065
0.93188, 1.280199, 1.23376
0.97359, 1.279795, 1.236884
0.98141, 1.279598, 1.237286
1.02836, 1.277249, 1.239525
1.0452, 1.276012, 1.240085
1.09401, 1.271789, 1.239757
1.1011, 1.271092, 1.239482
1.15328, 1.265235, 1.236825
1.1675, 1.263498, 1.235965
1.21781, 1.257103, 1.232199
1.22303, 1.256414, 1.231718
1.2808, 1.248659, 1.225772
1.2812, 1.248606, 1.225729
1.33519, 1.241526, 1.219946
1.3476, 1.239866, 1.218542
1.39671, 1.232975, 1.212907
1.40874, 1.231248, 1.211573
1.44848, 1.225619, 1.207202
1.47589, 1.221901, 1.204009
1.51038, 1.217458, 1.19992
1.54904, 1.212676, 1.195492
1.56177, 1.21113, 1.194094
1.61431, 1.204908, 1.188485
1.62217, 1.203995, 1.187662
1.67657, 1.197795, 1.181958
1.70022, 1.195198, 1.179387
1.73621, 1.191435, 1.175647
1.7775, 1.18731, 1.171964
1.78986, 1.186081, 1.170793
1.85326, 1.179957, 1.164361
1.85778, 1.179543, 1.163976
1.90728, 1.175261, 1.160478
1.94781, 1.17202, 1.156881
1.96805, 1.170465, 1.155018
2.02132, 1.166511, 1.150892
2.04423, 1.164862, 1.149243
2.08773, 1.161804, 1.146039
2.12976, 1.158917, 1.14286
2.13987, 1.158228, 1.142157
2.20628, 1.153772, 1.138033
2.22243, 1.152731, 1.137097
2.25767, 1.150593, 1.134879
2.29821, 1.148364, 1.131918
2.31995, 1.147215, 1.13039
2.37247, 1.144531, 1.127601
2.3935, 1.143514, 1.126604
2.4385, 1.141486, 1.124327
2.48429, 1.139391, 1.12163
2.49215, 1.139015, 1.121173
2.58256, 1.134583, 1.116687
2.61185, 1.133207, 1.115472
2.70151, 1.129692, 1.111974
2.71425, 1.129201, 1.111475
2.82492, 1.124989, 1.106868
2.82907, 1.124844, 1.106689
2.91496, 1.122086, 1.103111
2.97011, 1.120448, 1.101415
2.99377, 1.119757, 1.100778
